Txn Date,Transaction Details,Amount,UPI Ref
2026-07-10,Kumar Suppliers,-7200.00,UPI-KUMAR-0710
2026-07-11,Kumar Suppliers,-7200.00,UPI-KUMAR-0711
2026-07-03,Rahul Bhai transfer (personal),15000.00,UPI-PERS-15000
2026-07-07,Family pharmacy (personal),-2500.00,UPI-PERS-2500
2026-07-18,Home electricity (personal),-1800.00,UPI-PERS-1800
2026-07-25,Personal mobile recharge,-1200.00,UPI-PERS-1200
2026-07-01,Daily cash sale,-600.00,UPI-JUL-0001
2026-07-02,Vegetable Market,737.00,UPI-JUL-0002
2026-07-03,Metro Wholesale,874.00,UPI-JUL-0003
2026-07-04,Tea Stall,-1011.00,UPI-JUL-0004
2026-07-05,Walk-in sale,1148.00,UPI-JUL-0005
2026-07-06,Electricity bill,1285.00,UPI-JUL-0006
2026-07-07,Daily cash sale,-1422.00,UPI-JUL-0007
2026-07-08,Vegetable Market,1559.00,UPI-JUL-0008
2026-07-09,Metro Wholesale,1696.00,UPI-JUL-0009
2026-07-10,Tea Stall,-1833.00,UPI-JUL-0010
2026-07-11,Walk-in sale,1970.00,UPI-JUL-0011
2026-07-12,Electricity bill,2107.00,UPI-JUL-0012
2026-07-13,Daily cash sale,-2244.00,UPI-JUL-0013
2026-07-14,Vegetable Market,2381.00,UPI-JUL-0014
2026-07-15,Metro Wholesale,2518.00,UPI-JUL-0015
2026-07-16,Tea Stall,-2655.00,UPI-JUL-0016
2026-07-17,Walk-in sale,2792.00,UPI-JUL-0017
2026-07-18,Electricity bill,2929.00,UPI-JUL-0018
2026-07-19,Daily cash sale,-3066.00,UPI-JUL-0019
2026-07-20,Vegetable Market,3203.00,UPI-JUL-0020
2026-07-21,Metro Wholesale,3340.00,UPI-JUL-0021
2026-07-22,Tea Stall,-3477.00,UPI-JUL-0022
2026-07-23,Walk-in sale,3614.00,UPI-JUL-0023
2026-07-24,Electricity bill,3751.00,UPI-JUL-0024
2026-07-25,Daily cash sale,-3888.00,UPI-JUL-0025
2026-07-26,Vegetable Market,4025.00,UPI-JUL-0026
2026-07-27,Metro Wholesale,4162.00,UPI-JUL-0027
2026-07-28,Tea Stall,-4299.00,UPI-JUL-0028
2026-07-29,Walk-in sale,4436.00,UPI-JUL-0029
2026-07-30,Electricity bill,4573.00,UPI-JUL-0030
2026-07-31,Daily cash sale,-4710.00,UPI-JUL-0031
2026-07-01,Vegetable Market,4847.00,UPI-JUL-0032
2026-07-02,Metro Wholesale,684.00,UPI-JUL-0033
2026-07-03,Tea Stall,-821.00,UPI-JUL-0034
2026-07-04,Walk-in sale,958.00,UPI-JUL-0035
2026-07-05,Electricity bill,1095.00,UPI-JUL-0036
2026-07-06,Daily cash sale,-1232.00,UPI-JUL-0037
2026-07-07,Vegetable Market,1369.00,UPI-JUL-0038
2026-07-08,Metro Wholesale,1506.00,UPI-JUL-0039
2026-07-09,Tea Stall,-1643.00,UPI-JUL-0040
2026-07-10,Walk-in sale,1780.00,UPI-JUL-0041
2026-07-11,Electricity bill,1917.00,UPI-JUL-0042
2026-07-12,Daily cash sale,-2054.00,UPI-JUL-0043
2026-07-13,Vegetable Market,2191.00,UPI-JUL-0044
2026-07-14,Metro Wholesale,2328.00,UPI-JUL-0045
2026-07-15,Tea Stall,-2465.00,UPI-JUL-0046
2026-07-16,Walk-in sale,2602.00,UPI-JUL-0047
2026-07-17,Electricity bill,2739.00,UPI-JUL-0048
2026-07-18,Daily cash sale,-2876.00,UPI-JUL-0049
2026-07-19,Vegetable Market,3013.00,UPI-JUL-0050
2026-07-20,Metro Wholesale,3150.00,UPI-JUL-0051
2026-07-21,Tea Stall,-3287.00,UPI-JUL-0052
2026-07-22,Walk-in sale,3424.00,UPI-JUL-0053
2026-07-23,Electricity bill,3561.00,UPI-JUL-0054
